AwayTeam,AwayGoals
"Manchester Utd",576
Tottenham,576
Arsenal,576
Liverpool,576
Chelsea,576
Everton,576
"Aston Villa",519
"Newcastle Utd",517
"West Ham",498
"Manchester City",481
Southampton,443
Blackburn,348
"Leicester City",306
Sunderland,304
Middlesbrough,287
Fulham,285
"Leeds United",272
"Crystal Palace",251
Bolton,247
"West Brom",247
"Norwich City",196
"Stoke City",190
"Coventry City",177
"Sheffield Weds",158
Wimbledon,158
Watford,152
Burnley,152
"Wigan Athletic",152
"Charlton Ath",152
Wolves,152
QPR,139
"Swansea City",133
"Derby County",133
Portsmouth,133
"Birmingham City",133
"Ipswich Town",101
"Sheffield Utd",99
"Nott'ham Forest",99
"Hull City",95
Bournemouth,95
Brighton,95
Reading,57
"Oldham Athletic",42
"Bradford City",38
"Cardiff City",38
Huddersfield,38
"Swindon Town",21
Barnsley,19
Blackpool,19
Brentford,19
